name                    ,time,value,rate,unit,path
RootDryWeightProfile_20-30        ,14,0.05543577,NA,g,//soil
RootDryWeightProfile_20-30        ,15,0.07130156,NA,g,//soil
RootDryWeightProfile_20-30        ,16,0.09165838,NA,g,//soil
RootDryWeightProfile_20-30        ,17,0.1241418,NA,g,//soil
RootDryWeightProfile_20-30        ,18,0.17657546,NA,g,//soil
RootDryWeightProfile_20-30        ,19,0.24187354,NA,g,//soil
RootDryWeightProfile_20-30        ,20,0.29627022,NA,g,//soil
RootDryWeightProfile_20-30        ,21,0.33958495,NA,g,//soil
RootDryWeightProfile_20-30        ,22,0.36522396,NA,g,//soil
RootDryWeightProfile_20-30        ,23,0.38346166,NA,g,//soil
RootDryWeightProfile_20-30        ,24,0.39948762,NA,g,//soil
RootDryWeightProfile_20-30        ,25,0.42087559,NA,g,//soil
RootDryWeightProfile_20-30        ,26,0.44905078,NA,g,//soil
RootDryWeightProfile_20-30        ,27,0.48369203,NA,g,//soil
RootDryWeightProfile_20-30        ,28,0.53110392,NA,g,//soil
RootDryWeightProfile_20-30        ,29,0.59910674,NA,g,//soil
RootDryWeightProfile_20-30        ,30,0.65015804,NA,g,//soil
RootDryWeightProfile_20-30        ,31,0.69756311,NA,g,//soil
RootDryWeightProfile_20-30        ,32,0.7537302,NA,g,//soil
RootDryWeightProfile_20-30        ,33,0.83393208,NA,g,//soil
RootDryWeightProfile_30-40        ,0,0,NA,g,//soil
RootDryWeightProfile_30-40        ,1,0,NA,g,//soil
RootDryWeightProfile_30-40        ,2,0,NA,g,//soil
RootDryWeightProfile_30-40        ,3,0,NA,g,//soil
RootDryWeightProfile_30-40        ,4,0,NA,g,//soil
RootDryWeightProfile_30-40        ,5,0,NA,g,//soil
RootDryWeightProfile_30-40        ,6,0,NA,g,//soil
RootDryWeightProfile_30-40        ,7,0,NA,g,//soil
RootDryWeightProfile_30-40        ,8,0.00119277,NA,g,//soil
RootDryWeightProfile_30-40        ,9,0.00337591,NA,g,//soil
RootDryWeightProfile_30-40        ,10,0.00923736,NA,g,//soil
RootDryWeightProfile_30-40        ,11,0.01915555,NA,g,//soil
RootDryWeightProfile_30-40        ,12,0.02774051,NA,g,//soil
RootDryWeightProfile_30-40        ,13,0.03252196,NA,g,//soil
RootDryWeightProfile_30-40        ,14,0.03505041,NA,g,//soil
RootDryWeightProfile_30-40        ,15,0.04052964,NA,g,//soil
RootDryWeightProfile_30-40        ,16,0.04946304,NA,g,//soil
RootDryWeightProfile_30-40        ,17,0.06224842,NA,g,//soil
RootDryWeightProfile_30-40        ,18,0.07912596,NA,g,//soil
RootDryWeightProfile_30-40        ,19,0.10034667,NA,g,//soil
RootDryWeightProfile_30-40        ,20,0.13882981,NA,g,//soil
RootDryWeightProfile_30-40        ,21,0.19442529,NA,g,//soil
RootDryWeightProfile_30-40        ,22,0.25475927,NA,g,//soil
RootDryWeightProfile_30-40        ,23,0.30583442,NA,g,//soil
RootDryWeightProfile_30-40        ,24,0.33584873,NA,g,//soil
RootDryWeightProfile_30-40        ,25,0.3547565,NA,g,//soil
RootDryWeightProfile_30-40        ,26,0.36952181,NA,g,//soil
RootDryWeightProfile_30-40        ,27,0.39122045,NA,g,//soil
RootDryWeightProfile_30-40        ,28,0.41109932,NA,g,//soil
RootDryWeightProfile_30-40        ,29,0.43204901,NA,g,//soil
RootDryWeightProfile_30-40        ,30,0.46937487,NA,g,//soil
RootDryWeightProfile_30-40        ,31,0.51924795,NA,g,//soil
RootDryWeightProfile_30-40        ,32,0.57412414,NA,g,//soil
RootDryWeightProfile_30-40        ,33,0.61911655,NA,g,//soil
RootDryWeightProfile_40-50        ,0,0,NA,g,//soil
RootDryWeightProfile_40-50        ,1,0,NA,g,//soil
RootDryWeightProfile_40-50        ,2,0,NA,g,//soil
RootDryWeightProfile_40-50        ,3,0,NA,g,//soil
RootDryWeightProfile_40-50        ,4,0,NA,g,//soil
RootDryWeightProfile_40-50        ,5,0,NA,g,//soil
RootDryWeightProfile_40-50        ,6,0,NA,g,//soil
RootDryWeightProfile_40-50        ,7,0,NA,g,//soil
RootDryWeightProfile_40-50        ,8,0,NA,g,//soil
RootDryWeightProfile_40-50        ,9,0,NA,g,//soil
RootDryWeightProfile_40-50        ,10,0,NA,g,//soil
RootDryWeightProfile_40-50        ,11,0.00162724,NA,g,//soil
RootDryWeightProfile_40-50        ,12,0.00518394,NA,g,//soil
RootDryWeightProfile_40-50        ,13,0.01275927,NA,g,//soil
RootDryWeightProfile_40-50        ,14,0.02199394,NA,g,//soil
RootDryWeightProfile_40-50        ,15,0.02804108,NA,g,//soil
RootDryWeightProfile_40-50        ,16,0.03129744,NA,g,//soil
RootDryWeightProfile_40-50        ,17,0.03512776,NA,g,//soil
RootDryWeightProfile_40-50        ,18,0.04208728,NA,g,//soil
RootDryWeightProfile_40-50        ,19,0.05271997,NA,g,//soil
RootDryWeightProfile_40-50        ,20,0.0675651,NA,g,//soil
RootDryWeightProfile_40-50        ,21,0.087961,NA,g,//soil
RootDryWeightProfile_40-50        ,22,0.12047117,NA,g,//soil
RootDryWeightProfile_40-50        ,23,0.16708939,NA,g,//soil
RootDryWeightProfile_40-50        ,24,0.22433443,NA,g,//soil
RootDryWeightProfile_40-50        ,25,0.27679732,NA,g,//soil
RootDryWeightProfile_40-50        ,26,0.31151175,NA,g,//soil
RootDryWeightProfile_40-50        ,27,0.33114136,NA,g,//soil
RootDryWeightProfile_40-50        ,28,0.34613543,NA,g,//soil
RootDryWeightProfile_40-50        ,29,0.3622569,NA,g,//soil
RootDryWeightProfile_40-50        ,30,0.38451869,NA,g,//soil
RootDryWeightProfile_40-50        ,31,0.40612061,NA,g,//soil
RootDryWeightProfile_40-50        ,32,0.43490317,NA,g,//soil
RootDryWeightProfile_40-50        ,33,0.47042398,NA,g,//soil
RootDryWeightProfile_50-60        ,0,0,NA,g,//soil
RootDryWeightProfile_50-60        ,1,0,NA,g,//soil
RootDryWeightProfile_50-60        ,2,0,NA,g,//soil
RootDryWeightProfile_50-60        ,3,0,NA,g,//soil
RootDryWeightProfile_50-60        ,4,0,NA,g,//soil
RootDryWeightProfile_50-60        ,5,0,NA,g,//soil
RootDryWeightProfile_50-60        ,6,0,NA,g,//soil
RootDryWeightProfile_50-60        ,7,0,NA,g,//soil
RootDryWeightProfile_50-60        ,8,0,NA,g,//soil
RootDryWeightProfile_50-60        ,9,0,NA,g,//soil
RootDryWeightProfile_50-60        ,10,0,NA,g,//soil
RootDryWeightProfile_50-60        ,11,0,NA,g,//soil
RootDryWeightProfile_50-60        ,12,0,NA,g,//soil
RootDryWeightProfile_50-60        ,13,0.00032155,NA,g,//soil
RootDryWeightProfile_50-60        ,14,0.00298506,NA,g,//soil
RootDryWeightProfile_50-60        ,15,0.00907976,NA,g,//soil
RootDryWeightProfile_50-60        ,16,0.01828805,NA,g,//soil
RootDryWeightProfile_50-60        ,17,0.02555707,NA,g,//soil
RootDryWeightProfile_50-60        ,18,0.03064549,NA,g,//soil
RootDryWeightProfile_50-60        ,19,0.03340587,NA,g,//soil
RootDryWeightProfile_50-60        ,20,0.03848492,NA,g,//soil
RootDryWeightProfile_50-60        ,21,0.04767038,NA,g,//soil
RootDryWeightProfile_50-60        ,22,0.06145037,NA,g,//soil
RootDryWeightProfile_50-60        ,23,0.0806831,NA,g,//soil
RootDryWeightProfile_50-60        ,24,0.1070003,NA,g,//soil
RootDryWeightProfile_50-60        ,25,0.14443468,NA,g,//soil
RootDryWeightProfile_50-60        ,26,0.19370859,NA,g,//soil
RootDryWeightProfile_50-60        ,27,0.24056444,NA,g,//soil
RootDryWeightProfile_50-60        ,28,0.28593011,NA,g,//soil
RootDryWeightProfile_50-60        ,29,0.3125784,NA,g,//soil
RootDryWeightProfile_50-60        ,30,0.33035112,NA,g,//soil
RootDryWeightProfile_50-60        ,31,0.34135569,NA,g,//soil
RootDryWeightProfile_50-60        ,32,0.35812867,NA,g,//soil
RootDryWeightProfile_50-60        ,33,0.37918181,NA,g,//soil
RootDryWeightProfile_60-70        ,0,0,NA,g,//soil
RootDryWeightProfile_60-70        ,1,0,NA,g,//soil
RootDryWeightProfile_60-70        ,2,0,NA,g,//soil
RootDryWeightProfile_60-70        ,3,0,NA,g,//soil
RootDryWeightProfile_60-70        ,4,0,NA,g,//soil
RootDryWeightProfile_60-70        ,5,0,NA,g,//soil
RootDryWeightProfile_60-70        ,6,0,NA,g,//soil
RootDryWeightProfile_60-70        ,7,0,NA,g,//soil
